,Architecture,n_h_l,n_n,Run,Status,K,K1,K2,K3,K4,K5,K6,K7,K8
0,MLP,3,32,mean,UnLearned,49.09,40.04,32.39,29.07,Null,Null,,,
1,MLP,3,32,mean,Learned,92.99,51.06,70.05,51.85,Null,Null,,,
2,MLP,3,64,mean,UnLearned,63.86,56.52,49.68,42.26,Null,Null,,,
3,MLP,3,64,mean,Learned,116.17,69.46,93.75,71.57,Null,Null,,,
4,MLP,3,128,mean,UnLearned,88.62,70.64,69.11,61.75,Null,Null,,,
5,MLP,3,128,mean,Learned,123.08,88.0,113.46,109.45,Null,Null,,,
6,MLP,4,32,mean,UnLearned,63.51,47.31,45.77,42.61,40.16,Null,,,
7,MLP,4,32,mean,Learned,99.93,60.7,71.4,76.4,64.83,Null,,,
8,MLP,4,64,mean,UnLearned,65.83,56.45,47.06,43.16,41.71,Null,,,
9,MLP,4,64,mean,Learned,107.6,71.42,87.34,87.07,83.12,Null,,,
10,MLP,4,128,mean,UnLearned,69.82,52.19,45.69,42.01,38.85,Null,,,
11,MLP,4,128,mean,Learned,124.29,68.13,101.63,103.41,103.05,Null,,,
12,MLP,5,32,mean,UnLearned,50.88,29.86,34.64,26.48,24.96,22.8,,,
13,MLP,5,32,mean,Learned,88.71,39.41,60.91,62.06,50.15,44.09,,,
14,MLP,5,64,mean,UnLearned,64.95,42.61,36.51,35.78,28.96,27.33,,,
15,MLP,5,64,mean,Learned,119.02,62.28,87.61,93.27,92.66,76.67,,,
16,MLP,5,128,mean,UnLearned,77.24,56.8,55.21,47.45,45.62,44.92,,,
17,MLP,5,128,mean,Learned,131.28,81.04,117.09,112.7,104.31,101.52,,,
0,DGN,3,32,mean,UnLearned,58.58,44.59,37.96,31.45,Null,Null,,,
1,DGN,3,32,mean,Learned,109.11,63.32,86.73,69.76,Null,Null,,,
2,DGN,3,64,mean,UnLearned,56.87,39.38,38.23,34.59,Null,Null,,,
3,DGN,3,64,mean,Learned,115.45,59.53,89.29,86.05,Null,Null,,,
4,DGN,3,128,mean,UnLearned,77.92,57.6,52.17,48.93,Null,Null,,,
5,DGN,3,128,mean,Learned,133.2,78.73,119.21,115.25,Null,Null,,,
6,DGN,4,32,mean,UnLearned,68.55,49.66,50.59,41.78,41.85,Null,,,
7,DGN,4,32,mean,Learned,110.69,64.66,86.48,76.76,69.85,Null,,,
8,DGN,4,64,mean,UnLearned,61.83,44.55,44.0,39.57,36.42,Null,,,
9,DGN,4,64,mean,Learned,109.65,62.21,92.56,82.8,70.94,Null,,,
10,DGN,4,128,mean,UnLearned,56.48,35.28,33.34,29.62,25.01,Null,,,
11,DGN,4,128,mean,Learned,117.42,57.57,104.68,93.08,89.75,Null,,,
12,DGN,5,32,mean,UnLearned,51.21,34.26,33.84,29.08,25.87,23.3,,,
13,DGN,5,32,mean,Learned,106.76,53.04,72.52,83.32,79.86,71.01,,,
14,DGN,5,64,mean,UnLearned,76.14,51.54,51.03,45.96,40.0,39.34,,,
15,DGN,5,64,mean,Learned,118.32,70.09,103.24,100.9,86.36,77.29,,,
16,DGN,5,128,mean,UnLearned,65.52,43.42,43.68,39.64,35.28,33.09,,,
17,DGN,5,128,mean,Learned,127.81,68.69,117.22,105.45,99.23,94.04,,,
18,DLGN,3,32,mean,UnLearned,115.61,90.65,91.09,73.0,Null,Null,,,
19,DLGN,3,32,mean,Learned,126.18,122.01,97.07,89.77,Null,Null,,,
20,DLGN,3,64,mean,UnLearned,105.44,72.78,73.9,66.7,Null,Null,,,
21,DLGN,3,64,mean,Learned,128.07,115.99,91.76,89.69,Null,Null,,,
22,DLGN,3,128,mean,UnLearned,104.27,70.78,72.49,65.49,Null,Null,,,
23,DLGN,3,128,mean,Learned,118.98,100.82,86.49,88.54,Null,Null,,,
24,DLGN,4,32,mean,UnLearned,116.11,77.29,82.9,62.1,54.7,Null,,,
25,DLGN,4,32,mean,Learned,112.85,108.92,93.06,80.27,78.84,Null,,,
26,DLGN,4,64,mean,UnLearned,110.33,78.6,71.89,69.8,63.57,Null,,,
27,DLGN,4,64,mean,Learned,103.06,98.07,75.01,68.18,66.37,Null,,,
28,DLGN,4,128,mean,UnLearned,120.09,84.54,83.62,99.53,79.4,Null,,,
29,DLGN,4,128,mean,Learned,111.56,108.32,89.31,83.14,81.66,Null,,,
