,Architecture,n_h_l,n_n,Run,Status,K,K1,K2,K3,K4,K5
0,MLP,3,32,mean,UnLearned,74.38,60.73,57.24,56.61,Null,Null
1,MLP,3,32,mean,Learned,86.23,58.05,64.78,68.04,Null,Null
2,MLP,3,64,mean,UnLearned,74.75,66.05,62.25,62.8,Null,Null
3,MLP,3,64,mean,Learned,106.23,63.98,80.14,82.88,Null,Null
4,MLP,3,128,mean,UnLearned,62.35,49.51,48.14,45.93,Null,Null
5,MLP,3,128,mean,Learned,123.29,50.54,86.75,88.55,Null,Null
6,MLP,4,32,mean,UnLearned,68.21,61.14,54.96,51.13,53.12,Null
7,MLP,4,32,mean,Learned,102.79,62.48,66.43,67.07,69.63,Null
8,MLP,4,64,mean,UnLearned,70.58,57.19,59.83,55.45,50.68,Null
9,MLP,4,64,mean,Learned,132.75,58.39,84.29,90.91,86.04,Null
10,MLP,4,128,mean,UnLearned,71.73,53.29,52.57,51.63,49.08,Null
11,MLP,4,128,mean,Learned,145.27,53.44,86.19,112.22,121.31,Null
12,MLP,5,32,mean,UnLearned,75.83,60.08,60.32,56.95,56.13,55.94
13,MLP,5,32,mean,Learned,110.68,64.02,58.25,59.88,70.81,87.29
14,MLP,5,64,mean,UnLearned,89.73,70.97,72.54,66.59,65.65,65.69
15,MLP,5,64,mean,Learned,154.19,74.25,89.54,101.16,114.68,137.44
16,MLP,5,128,mean,UnLearned,85.73,65.4,65.61,61.42,61.29,58.44
17,MLP,5,128,mean,Learned,151.33,64.82,88.75,128.52,142.23,157.09
0,DGN,3,32,mean,UnLearned,84.68,71.07,74.18,70.83,Null,Null
1,DGN,3,32,mean,Learned,127.69,72.73,106.02,91.29,Null,Null
2,DGN,3,64,mean,UnLearned,66.05,53.33,51.95,49.5,Null,Null
3,DGN,3,64,mean,Learned,125.3,58.41,83.62,107.74,Null,Null
4,DGN,3,128,mean,UnLearned,66.01,48.61,48.17,44.83,Null,Null
5,DGN,3,128,mean,Learned,136.21,55.98,91.89,143.76,Null,Null
6,DGN,4,32,mean,UnLearned,69.96,61.97,55.43,55.5,53.1,Null
7,DGN,4,32,mean,Learned,119.08,68.84,66.43,78.01,91.06,Null
8,DGN,4,64,mean,UnLearned,73.26,56.19,56.58,53.36,52.08,Null
9,DGN,4,64,mean,Learned,125.04,59.84,79.9,102.61,122.19,Null
10,DGN,4,128,mean,UnLearned,104.35,89.87,89.16,86.48,86.1,Null
11,DGN,4,128,mean,Learned,149.77,93.43,125.63,143.19,164.82,Null
12,DGN,5,32,mean,UnLearned,68.08,62.49,58.97,59.83,59.5,58.28
13,DGN,5,32,mean,Learned,143.73,64.02,69.48,89.9,105.13,111.52
14,DGN,5,64,mean,UnLearned,85.99,72.98,68.33,71.22,67.03,66.37
15,DGN,5,64,mean,Learned,146.63,79.22,102.05,103.03,108.4,121.84
16,DGN,5,128,mean,UnLearned,94.92,73.36,71.97,70.88,65.58,65.29
17,DGN,5,128,mean,Learned,146.99,79.38,123.86,151.71,163.19,160.58
18,DLGN,3,32,mean,UnLearned,103.41,70.61,56.35,57.7,Null,Null
19,DLGN,3,32,mean,Learned,127.53,84.83,55.96,49.16,Null,Null
20,DLGN,3,64,mean,UnLearned,124.14,68.05,76.68,65.25,Null,Null
21,DLGN,3,64,mean,Learned,130.39,79.2,46.06,44.39,Null,Null
22,DLGN,3,128,mean,UnLearned,116.51,71.26,71.13,64.84,Null,Null
23,DLGN,3,128,mean,Learned,140.06,83.35,47.27,53.16,Null,Null
24,DLGN,4,32,mean,UnLearned,116.76,63.28,70.68,67.14,53.83,Null
25,DLGN,4,32,mean,Learned,173.83,69.87,35.36,31.08,33.81,Null
26,DLGN,4,64,mean,UnLearned,124.46,63.07,67.5,59.48,54.86,Null
27,DLGN,4,64,mean,Learned,157.19,68.95,30.58,26.98,24.04,Null
28,DLGN,4,128,mean,UnLearned,150.52,68.29,76.7,75.04,68.82,Null
29,DLGN,4,128,mean,Learned,165.29,82.82,47.0,32.19,24.3,Null
30,DLGN,5,32,mean,UnLearned,130.32,80.28,81.83,69.56,66.26,59.18
